,Team(s),ID,MLB ID,Pos,Bats,Throws,NAME,NAME_TEAM
346,TBA,66810,588751,SS,R,R,ADEINY HECHAVARRIA,ADEINY HECHAVARRIA TBA
347,SDN,70397,595978,C,R,R,AUSTIN HEDGES,AUSTIN HEDGES SDN
348,WAS,46155,476451,P,R,R,JEREMY HELLICKSON,JEREMY HELLICKSON WAS
349,BOS,67011,592390,P,R,R,HEATH HEMBREE,HEATH HEMBREE BOS
350,CHN,69172,543294,P,R,R,KYLE HENDRICKS,KYLE HENDRICKS CHN
351,OAK,56426,521230,P,R,R,LIAM HENDRIKS,LIAM HENDRIKS OAK
352,SEA,102267,628338,LF,R,L,GUILLERMO HEREDIA,GUILLERMO HEREDIA SEA
353,PHI,56444,514917,PH,B,R,CESAR HERNANDEZ,CESAR HERNANDEZ PHI
354,LAN,59660,571771,CF,R,R,ENRIQUE HERNANDEZ,ENRIQUE HERNANDEZ LAN
355,SEA,45536,433587,P,R,R,FELIX HERNANDEZ,FELIX HERNANDEZ SEA
356,SFN,51885,491676,LF,R,R,GORKYS HERNANDEZ,GORKYS HERNANDEZ SFN
357,TOR,69667,606192,RF,R,R,TEOSCAR HERNANDEZ,TEOSCAR HERNANDEZ TOR
358,KCA,56449,516969,P,R,R,KELVIN HERRERA,KELVIN HERRERA KCA
359,PHI,66013,546318,CF,L,R,ODUBEL HERRERA,ODUBEL HERRERA PHI
360,CHN,57396,518792,RF,L,L,JASON HEYWARD,JASON HEYWARD CHN
361,NYA,57967,543305,CF,B,R,AARON HICKS,AARON HICKS NYA
362,DET,70307,543308,C,R,R,JOHN HICKS,JOHN HICKS DET
363,SLN,107962,663855,P,R,R,JORDAN HICKS,JORDAN HICKS SLN
364,MIN,105121,657610,P,R,R,TREVOR HILDENBERGER,TREVOR HILDENBERGER MIN
365,LAN,36959,448179,P,L,L,RICH HILL,RICH HILL LAN
366,KCA,105123,657612,P,L,L,TIM HILL,TIM HILL KCA
367,ARI,53724,673633,P,R,R,YOSHIHISA HIRANO,YOSHIHISA HIRANO ARI
368,MIA,67016,592407,C,R,R,BRYAN HOLADAY,BRYAN HOLADAY MIA
369,NYA,104803,656547,P,R,R,JONATHAN HOLDER,JONATHAN HOLDER NYA
370,SFN,56468,502706,P,B,L,DEREK HOLLAND,DEREK HOLLAND SFN
371,SLN,57708,518813,P,R,R,GREG HOLLAND,GREG HOLLAND SLN
372,PIT,70822,605280,P,R,R,CLAY HOLMES,CLAY HOLMES PIT
373,BOS,59664,571788,3B,L,R,BROCK HOLT,BROCK HOLT BOS
374,MIL,57985,543331,P,R,R,J.J. HOOVER,J.J. HOOVER MIL
375,PHI,104806,656555,LF,R,R,RHYS HOSKINS,RHYS HOSKINS PHI
376,SDN,57988,543333,1B,L,L,ERIC HOSMER,ERIC HOSMER SDN
377,MIL,69545,605288,P,R,R,ADRIAN HOUSER,ADRIAN HOUSER MIL
378,HOU,101658,624586,P,R,R,JAMES HOYT,JAMES HOYT HOU
379,TBA,102320,629496,P,R,R,CHIH-WEI HU,CHIH-WEI HU TBA
380,CIN,51927,453172,P,R,R,JARED HUGHES,JARED HUGHES CIN
381,SFN,47690,460026,C,R,R,NICK HUNDLEY,NICK HUNDLEY SFN
382,PHI,66556,571800,P,L,R,DREW HUTCHISON,DREW HUTCHISON PHI
383,COL,46150,455104,C,R,R,CHRIS IANNETTA,CHRIS IANNETTA COL
384,DET,61044,578428,SS,R,R,JOSE IGLESIAS,JOSE IGLESIAS DET
385,CIN,102294,628452,P,R,R,RAISEL IGLESIAS,RAISEL IGLESIAS CIN
386,ATL,59112,542255,CF,L,L,ENDER INCIARTE,ENDER INCIARTE ATL
387,CHA,51654,500872,P,R,R,GREGORY INFANTE,GREGORY INFANTE CHA
388,SFN,47939,457706,CF,R,R,AUSTIN JACKSON,AUSTIN JACKSON SFN
389,ATL,68592,592426,P,R,R,LUKE JACKSON,LUKE JACKSON ATL
390,LAN,47965,445276,P,B,R,KENLEY JANSEN,KENLEY JANSEN LAN
391,KCA,52296,445055,CF,L,L,JON JAY,JON JAY KCA
392,MIL,50094,502026,P,R,R,JEREMY JEFFRESS,JEREMY JEFFRESS MIL
393,MIL,58318,543359,P,L,L,DAN JENNINGS,DAN JENNINGS MIL
394,TEX,45544,448178,P,R,R,KEVIN JEPSEN,KEVIN JEPSEN TEX
395,DET,102625,641729,P,R,R,JOE JIMENEZ,JOE JIMENEZ DET
396,BOS,68307,598271,P,L,L,BRIAN JOHNSON,BRIAN JOHNSON BOS
397,ANA,37595,462382,P,R,R,JIM JOHNSON,JIM JOHNSON ANA
398,SFN,99839,572955,P,R,R,PIERCE JOHNSON,PIERCE JOHNSON SFN
399,BAL,45435,430945,CF,R,R,ADAM JONES,ADAM JONES BAL
400,DET,68600,592444,CF,R,R,JACOBY JONES,JACOBY JONES DET
401,CHA,56519,518858,P,R,R,NATE JONES,NATE JONES CHA
402,BAL,58842,543376,C,R,R,CALEB JOSEPH,CALEB JOSEPH BAL
403,OAK,47952,459964,LF,L,R,MATT JOYCE,MATT JOYCE OAK
404,NYA,68603,592450,RF,R,R,AARON JUDGE,AARON JUDGE NYA
405,KCA,71017,596001,P,R,R,JAKE JUNIS,JAKE JUNIS KCA
406,NYA,67028,592454,P,R,R,TOMMY KAHNLE,TOMMY KAHNLE NYA
407,TEX,71016,605309,P,R,R,KEONE KELA,KEONE KELA TEX
408,KCA,102632,641745,P,R,R,BRAD KELLER,BRAD KELLER KCA
409,WAS,56533,518875,P,R,R,SHAWN KELLEY,SHAWN KELLEY WAS
410,BOS,59351,523260,P,R,R,JOE KELLY,JOE KELLY BOS
411,LAN,45436,461314,RF,R,R,MATT KEMP,MATT KEMP LAN
412,WAS,45437,435062,2B,R,R,HOWIE KENDRICK,HOWIE KENDRICK WAS
413,KCA,52572,453178,P,R,R,IAN KENNEDY,IAN KENNEDY KCA
414,MIN,68091,596146,RF,L,L,MAX KEPLER,MAX KEPLER MIN
415,LAN,49786,477132,P,L,L,CLAYTON KERSHAW,CLAYTON KERSHAW LAN
416,HOU,60448,572971,P,L,L,DALLAS KEUCHEL,DALLAS KEUCHEL HOU
417,TBA,67964,595281,RF,L,R,KEVIN KIERMAIER,KEVIN KIERMAIER TBA
418,BOS,58350,518886,P,R,R,CRAIG KIMBREL,CRAIG KIMBREL BOS
419,TEX,103420,643396,3B,R,R,ISIAH KINER-FALEFA,ISIAH KINER-FALEFA TEX
420,PHI,106259,664068,2B,R,R,SCOTT KINGERY,SCOTT KINGERY PHI
421,MIN,102634,641755,P,R,R,TYLER KINLEY,TYLER KINLEY MIN
422,ANA,45438,435079,2B,R,R,IAN KINSLER,IAN KINSLER ANA
423,WAS,46298,445213,P,R,R,BRANDON KINTZLER,BRANDON KINTZLER WAS
424,CLE,60007,543401,2B,L,R,JASON KIPNIS,JASON KIPNIS CLE
425,TBA,59541,552640,P,R,R,ANDREW KITTREDGE,ANDREW KITTREDGE TBA
426,CLE,57424,446372,P,R,R,COREY KLUBER,COREY KLUBER CLE
427,PHI,68908,595284,C,B,R,ANDREW KNAPP,ANDREW KNAPP PHI
428,MIL,70620,608349,P,R,R,COREY KNEBEL,COREY KNEBEL MIL
429,ARI,99961,571863,P,L,R,MATTHEW KOCH,MATTHEW KOCH ARI
430,PIT,50087,502004,P,R,R,GEORGE KONTOS,GEORGE KONTOS PIT
431,PIT,102639,641771,P,R,R,CHAD KUHL,CHAD KUHL PIT
432,CHN,69305,600303,2B,L,R,TOMMY LA STELLA,TOMMY LA STELLA CHN
433,NYN,50845,501571,CF,R,R,JUAN LAGARES,JUAN LAGARES NYN
434,MIN,65938,534606,LF,R,L,RYAN LAMARRE,RYAN LAMARRE MIN
435,ARI,99963,571875,3B,L,R,JAKE LAMB,JAKE LAMB ARI
436,SFN,70359,571882,P,R,R,DEREK LAW,DEREK LAW SFN
